スポット名,県,tsurispot名,緯度,経度,ソース
(未マッチ),hyogo,武庫川河口,34.693,135.366,"https://tsurispot.com/spots/mukogawa-kakou"
(未マッチ),hyogo,東二見漁港,34.658,134.905,"https://tsurispot.com/spots/higashi-futami-gyoko"
(未マッチ),hyogo,高砂海浜公園,34.723,134.808,"https://tsurispot.com/spots/takasago-kaihin-koen"
(未マッチ),hyogo,魚住漁港,34.647,134.918,"https://tsurispot.com/spots/uozumi-gyoko"
(未マッチ),hyogo,赤穂御崎,34.721,134.378,"https://tsurispot.com/spots/ako-misaki"
(未マッチ),hyogo,大塩海岸,34.764,134.733,"https://tsurispot.com/spots/ooshio-kaigan"
(未マッチ),hyogo,郡家港,34.4912,134.8189,"https://tsurispot.com/spots/gunge-port"
(未マッチ),hyogo,香住東港,35.635,134.629,"https://tsurispot.com/spots/kasumi-higashi-port"
(未マッチ),hyogo,香住西港,35.637,134.618,"https://tsurispot.com/spots/kasumi-nishi-port"
(未マッチ),hyogo,柴山港,35.649,134.583,"https://tsurispot.com/spots/shibayama-port"
(未マッチ),hyogo,竹野港,35.653,134.757,"https://tsurispot.com/spots/takeno-port"
(未マッチ),hyogo,気比堤防,35.64,134.795,"https://tsurispot.com/spots/kehi-teitou"
(未マッチ),hyogo,津居山港,35.6478,134.8212,"https://tsurispot.com/spots/tsuiyama-port"
(未マッチ),hyogo,小島岸壁,35.6458,134.7812,"https://tsurispot.com/spots/kojima-ganpeki-toyooka"
(未マッチ),hyogo,林崎松江海岸,34.634,134.956,"https://tsurispot.com/spots/hayashizaki-matsue-kaigan"
(未マッチ),hyogo,明石海浜公園護岸,34.652,134.905,"https://tsurispot.com/spots/akashi-kaihin-koen-gogan"
(未マッチ),hyogo,望海浜公園,34.635,134.94128,"https://tsurispot.com/spots/bokaihama-koen"
(未マッチ),hyogo,藤江海岸,34.6367,134.94,"https://tsurispot.com/spots/fujie-kaigan"
(未マッチ),hyogo,松江漁港,34.635,134.952,"https://tsurispot.com/spots/matsue-gyoko-akashi"
(未マッチ),hyogo,明石浦漁港西波止,34.642,134.985,"https://tsurispot.com/spots/akashiura-nishi-hato"
(未マッチ),hyogo,魚住港,34.6782,134.916,"https://tsurispot.com/spots/uozumi-ko"
(未マッチ),hyogo,妻鹿漁港,34.789,134.743,"https://tsurispot.com/spots/mega-gyokou"
(未マッチ),hyogo,円山川,35.3947,134.8256,"https://tsurispot.com/spots/maruyamagawa-river"
(未マッチ),hyogo,円山川（養父）,35.3917,134.7833,"https://tsurispot.com/spots/maruyamagawa-yabu"
(未マッチ),hyogo,揖保川,34.9719,134.5531,"https://tsurispot.com/spots/ibogawa-river"
(未マッチ),hyogo,引原川,35.1539,134.5128,"https://tsurispot.com/spots/hikiharagawa-river"
(未マッチ),hyogo,江井ヶ島港,34.6737,134.9114,"https://tsurispot.com/spots/eigashima-port"
(未マッチ),hyogo,的形海水浴場,34.765,134.755,"https://tsurispot.com/spots/matogata-beach"
(未マッチ),hyogo,姫路港,34.785,134.6617,"https://tsurispot.com/spots/himeji-port"
(未マッチ),hyogo,家島,34.6612,134.5358,"https://tsurispot.com/spots/ieshima-port"
(未マッチ),hyogo,福良港,34.2527,134.716,"https://tsurispot.com/spots/fukura-ko-add3"
(未マッチ),hyogo,丸山海釣り公園跡,34.585,135.002,"https://tsurispot.com/spots/maruyama-tsuri-ato"
(未マッチ),hyogo,鎧港,35.655,134.65,"https://tsurispot.com/spots/yoroi-ko"
(未マッチ),wakayama,白浜漁港,33.692,135.348,"https://tsurispot.com/spots/shirahama-gyoko-wakayama"
(未マッチ),wakayama,すさみ港,33.5467,135.4967,"https://tsurispot.com/spots/susami-port"
(未マッチ),wakayama,紀ノ川河口,34.232,135.128,"https://tsurispot.com/spots/kinokawa-kakou"
(未マッチ),wakayama,和歌山マリーナシティ,34.188,135.168,"https://tsurispot.com/spots/wakayama-marina-city"
(未マッチ),wakayama,湯浅広港,34.032,135.176,"https://tsurispot.com/spots/yuasa-hiro-port"
(未マッチ),wakayama,すさみ漁港,33.553,135.502,"https://tsurispot.com/spots/susami-gyoko-detail"
(未マッチ),wakayama,日置川,33.6917,135.5708,"https://tsurispot.com/spots/hikigawa-river"
(未マッチ),wakayama,太地港,33.592,135.943,"https://tsurispot.com/spots/taiji-port"
(未マッチ),wakayama,白浜・田辺港,33.725,135.375,"https://tsurispot.com/spots/shirahama-tanabe-port"
(未マッチ),wakayama,由良港,33.958,135.113,"https://tsurispot.com/spots/yura-port-wakayama"
(未マッチ),wakayama,御坊・日高港,33.871,135.1425,"https://tsurispot.com/spots/gobo-hidaka-port"
(未マッチ),wakayama,田辺港,33.728,135.368,"https://tsurispot.com/spots/tanabe-ko-add3"
(未マッチ),wakayama,御坊港日高港,33.868,135.145,"https://tsurispot.com/spots/gobo-hidaka-ko"
(未マッチ),wakayama,有田港,34.078,135.115,"https://tsurispot.com/spots/arida-ko-add3"
