スポット名,緯度,経度,信頼度,ソース
白野漁港,33.455304,135.822616,high,"https://www.google.com/maps/search/%E7%99%BD%E9%87%8E%E6%BC%81%E6%B8%AF%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
姫漁港,,,未取得,
伊串漁港,33.5024062,135.8074522,high,"https://tsuriba.info/spot/1690"
津荷漁港,33.51679078,135.84322214,high,"https://tsuriba.info/spot/1692"
下田原漁港,33.53229088,135.87377787,high,"https://tsuriba.info/spot/1689"
小金島漁港,,,未取得,
勝浦漁港,,,未取得,
那智漁港,33.64467058,135.94139099,high,"https://tsuriba.info/spot/1682"
宇久井漁港,33.66117468,135.97668886,high,"https://tsuriba.info/spot/1680"
太地漁港,33.59101042,135.94845057,high,"https://tsuriba.info/spot/1686"
三輪崎漁港,33.683373,135.9890354,high,"https://www.google.com/maps/search/%E4%B8%89%E8%BC%AA%E5%B4%8E%E6%BC%81%E6%B8%AF%20%E6%96%B0%E5%AE%AE%E5%B8%82%20%E9%87%A3%E3%82%8A"
番所庭園,34.1906797,135.1384912,high,"https://www.google.com/maps/search/%E7%95%AA%E6%89%80%E5%BA%AD%E5%9C%92%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E9%87%A3%E3%82%8A"
加太磯,34.2853788,134.9982167,high,"https://www.google.com/maps/search/%E5%8A%A0%E5%A4%AA%E7%A3%AF%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E9%87%A3%E3%82%8A"
天神崎,33.72624924,135.35686255,high,"https://tsuriba.info/spot/1185"
三段壁,33.6315107,135.3952488,high,"https://www.google.com/maps/search/%E4%B8%89%E6%AE%B5%E5%A3%81%20%E7%99%BD%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
日ノ御埼,33.8820129,135.0598405,high,"https://www.google.com/maps/search/%E6%97%A5%E3%83%8E%E5%BE%A1%E5%9F%BC%20%E6%97%A5%E9%AB%98%E7%94%BA%20%E9%87%A3%E3%82%8A"
潮岬,33.4331999,135.7274496,high,"https://www.google.com/maps/search/%E6%BD%AE%E5%B2%AC%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
双子島,33.4764957,135.7577167,high,"https://www.google.com/maps/search/%E5%8F%8C%E5%AD%90%E5%B3%B6%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
橋杭岩,33.4880617,135.7607285,high,"https://www.google.com/maps/search/%E6%A9%8B%E6%9D%AD%E5%B2%A9%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
黒島磯,33.5438432,135.4255783,high,"https://www.google.com/maps/search/%E9%BB%92%E5%B3%B6%E7%A3%AF%20%E3%81%99%E3%81%95%E3%81%BF%E7%94%BA%20%E9%87%A3%E3%82%8A"
地ノ島,34.105579,135.0932552,high,"https://www.google.com/maps/search/%E5%9C%B0%E3%83%8E%E5%B3%B6%20%E6%9C%89%E7%94%B0%E5%B8%82%20%E9%87%A3%E3%82%8A"
磯ノ浦,34.25842243,135.09295464,high,"https://tsuriba.info/spot/1159"
片男波,34.17552411,135.17595291,high,"https://tsuriba.info/spot/1160"
浪早ビーチ,34.1877576,135.1498021,high,"https://www.google.com/maps/search/%E6%B5%AA%E6%97%A9%E3%83%93%E3%83%BC%E3%83%81%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E9%87%A3%E3%82%8A"
煙樹ヶ浜,33.88815875,135.13063431,high,"https://tsuriba.info/spot/1158"
切目浜,33.7961648,135.2350132,high,"https://www.google.com/maps/search/%E5%88%87%E7%9B%AE%E6%B5%9C%20%E5%8D%B0%E5%8D%97%E7%94%BA%20%E9%87%A3%E3%82%8A"
千里浜,33.77005083,135.29560089,high,"https://tsuriba.info/spot/1181"
白良浜,33.6817259,135.2743951,high,"https://www.google.com/maps/search/%E7%99%BD%E8%89%AF%E6%B5%9C%20%E7%99%BD%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
臨海浦,33.6938674,135.331746,high,"https://www.google.com/maps/search/%E8%87%A8%E6%B5%B7%E6%B5%A6%20%E7%99%BD%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
紀の川河口,34.2251053,135.1446851,high,"https://www.google.com/maps/search/%E7%B4%80%E3%81%AE%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E9%87%A3%E3%82%8A"
有田川河口,34.0793827,135.0911226,high,"https://www.google.com/maps/search/%E6%9C%89%E7%94%B0%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E6%9C%89%E7%94%B0%E5%B8%82%20%E9%87%A3%E3%82%8A"
日高川河口,33.87608095,135.15316486,high,"https://tsuriba.info/spot/516"
富田川河口,33.63797159,135.39454222,high,"https://tsuriba.info/spot/525"
日置川河口,33.56442708,135.44816494,high,"https://tsuriba.info/spot/1193"
古座川河口,33.4821669,135.7625317,high,"https://www.google.com/maps/search/%E5%8F%A4%E5%BA%A7%E5%B7%9D%E6%B2%B3%E5%8F%A3%20%E4%B8%B2%E6%9C%AC%E7%94%BA%20%E9%87%A3%E3%82%8A"
太田川河口,33.57654881,135.9260273,high,"https://tsuriba.info/spot/1687"
加太大波止,34.2767202,135.0021446,high,"https://www.google.com/maps/search/%E5%8A%A0%E5%A4%AA%E5%A4%A7%E6%B3%A2%E6%AD%A2%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E9%87%A3%E3%82%8A"
青岸,34.2170292,135.1254694,high,"https://www.google.com/maps/search/%E9%9D%92%E5%B2%B8%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E9%87%A3%E3%82%8A"
小浦一文字,33.9382147,135.047128,high,"https://www.google.com/maps/search/%E5%B0%8F%E6%B5%A6%E4%B8%80%E6%96%87%E5%AD%97%20%E6%97%A5%E9%AB%98%E7%94%BA%20%E9%87%A3%E3%82%8A"
下津大波止,34.1512648,135.1630533,high,"https://www.google.com/maps/search/%E4%B8%8B%E6%B4%A5%E5%A4%A7%E6%B3%A2%E6%AD%A2%20%E6%B5%B7%E5%8D%97%E5%B8%82%20%E9%87%A3%E3%82%8A"
海南赤灯台,34.1144038,135.1398501,high,"https://www.google.com/maps/search/%E6%B5%B7%E5%8D%97%E8%B5%A4%E7%81%AF%E5%8F%B0%20%E6%B5%B7%E5%8D%97%E5%B8%82%20%E9%87%A3%E3%82%8A"
田辺新大波止,33.7219703,135.3603637,high,"https://www.google.com/maps/search/%E7%94%B0%E8%BE%BA%E6%96%B0%E5%A4%A7%E6%B3%A2%E6%AD%A2%20%E7%94%B0%E8%BE%BA%E5%B8%82%20%E9%87%A3%E3%82%8A"
勝浦新大波止,33.6332197,135.9432016,high,"https://www.google.com/maps/search/%E5%8B%9D%E6%B5%A6%E6%96%B0%E5%A4%A7%E6%B3%A2%E6%AD%A2%20%E9%82%A3%E6%99%BA%E5%8B%9D%E6%B5%A6%E7%94%BA%20%E9%87%A3%E3%82%8A"
マリーナシティ海釣り公園,34.15119985,135.17917156,high,"https://tsuriba.info/spot/475"
由良海つり公園,33.95740383,135.0962162,high,"https://tsuriba.info/spot/381"
下津ピアーランド,34.1383003,135.1439703,high,"https://www.google.com/maps/search/%E4%B8%8B%E6%B4%A5%E3%83%94%E3%82%A2%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20%E6%B5%B7%E5%8D%97%E5%B8%82%20%E9%87%A3%E3%82%8A"
和歌山北港魚つり公園,34.23032563,135.10471344,high,"https://tsuriba.info/spot/382"
